producto,precio_diez_y_punto,precio_nuestro
	Auriculares Concerto,36460.79,17555.00
	Parlante Wireless Earth,23863.67,11490.00
	Set de Belleza BLACK,4395.59,6916.00
Aromatizador AURA,31325.39,15083.00
Auriculares Clean,42110.27,20275.00
Auriculares CROMO,41030.27,19755.00
Auriculares CUFFIA,51834.59,24957.00
Auriculares Demo,47522.15,22881.00
Auriculares GALIO,37416.59,18015.00
Auriculares NALU,37671.47,18138.00
Auriculares NUCLEO,23956.55,11535.00
Auriculares Tempo,47510.27,22875.00
Auriculares Tremor,39950.27,19235.00
Bag TERO 43X35,19321.19,9303.00
Banco Twist,42956.99,20683.00
Base Relaxer,3782.15,1821.00
Boligrafo 4 Colores,4859.99,2340.00
Boligrafo ARIES,1735.55,836.00
Boligrafo COSMIC,843.47,406.00
Boligrafo Electra,701.99,338.00
Boligrafo FUSSEN,4643.99,2236.00
Boligrafo KERPEN,5944.31,2862.00
Boligrafo Mallorca,280.79,135.00
Boligrafo NOLAN Tinta Azul,565.91,272.00
Boligrafo RAINER,5277.95,2541.00
Boligrafo Sevilla,406.07,196.00
Boligrafo STEINER,5550.11,2672.00
Boligrafo WIT,813.23,392.00
Boligrafo ZODIAC,2077.91,1000.00
Bolsa M2 39x20x10,323.99,4956.00
Bolsa M3 40x35x10,647.99,5112.00
Bolsa M4 40x45x10,809.99,5190.00
Bolsa M6 25x23x10,593.99,5086.00
Bolsa M7 39x31x12,863.99,5216.00
Bolsa M8 36x40x18,1216.07,5386.00
Bolsa M9 23x25x10,377.99,4982.00
Bolsa Shiny 40x38x10,1785.23,860.00
Bolsa Shopping Metalica 36x40x10,3602.87,6535.00
Bolsa Tero 35x30,12873.59,10998.00
Bolso Crossover koffer,29159.99,18840.00
Bolso Drop,42893.27,25452.00
Bolso Merlo,59399.99,33400.00
Bolso NEWPORT,14039.99,11560.00
Bolso Plegable Parodi,59399.99,33400.00
Bolso Sacken Large,69584.39,38304.00
Bolso Sacken Medium,75599.99,41200.00
Bolso SCRUM,104489.99,50310.00
Bolso Smash,48599.99,28200.00
Bombilla Caviahue,28081.07,18321.00
Bota de Navidad,1015.19,5289.00
Botella Calypso,26999.99,13000.00
Botella Eden,10500.83,5056.00
Botella Fizzy,3248.63,1564.00
Botella ION,10259.99,4940.00
Botella JIM,11609.99,5590.00
Botella Like,5598.71,2696.00
Botella NEO,16945.19,8159.00
Botella OLYMPIA,29895.47,14394.00
Botella RACKET,11377.79,5478.00
Botella RING,7948.79,3827.00
